both,row,col,6oct,23nov,30nov,28dec
0819,08,19,null,null,null,null
0820,08,20,237.3555556,14.77777778,36,81.11111111
0821,08,21,197.0333333,16.33333333,40.5,73.83333333
0822,08,22,199.4333333,19.5,40.16666667,76.5
0823,08,23,151.0888889,17.11111111,38.66666667,71.77777778
0824,08,24,128.3666667,13.5,40,68.83333333
0825,08,25,120.55,15,39,73.16666667
0826,08,26,122.4444444,15.33333333,40.55555556,71.88888889
0827,08,27,116.1,15.66666667,44.16666667,69.66666667
0828,08,28,99.47222222,14.66666667,38.33333333,71.55555556
0829,08,29,99.96666667,16.33333333,39,70.66666667
0830,08,30,103.3666667,16.5,37,76.5
0831,08,31,105.5555556,18.55555556,45.22222222,85.55555556
0832,08,32,null,null,null,null
0900,09,00,null,null,null,null
0901,09,01,null,null,null,null
0902,09,02,null,null,null,null
0903,09,03,null,null,null,null
0904,09,04,null,null,null,null
0905,09,05,null,null,null,null
0906,09,06,null,null,null,null
0907,09,07,null,null,null,null
0908,09,08,null,null,null,null
0909,09,09,null,null,null,null
0910,09,10,null,null,null,null
0911,09,11,null,null,null,null
0912,09,12,null,null,null,null
0913,09,13,null,null,null,null
0914,09,14,null,null,null,null
0915,09,15,null,null,null,null
0916,09,16,null,null,null,null
0917,09,17,null,null,null,null
0918,09,18,null,null,null,null
0919,09,19,200.025,14,34,59
0920,09,20,209.0333333,25.33333333,46.83333333,72
0921,09,21,158.9166667,20.25,40.25,70
0922,09,22,150.15,19.25,44.75,69.5
0923,09,23,148.6333333,17.83333333,43,72.33333333
0924,09,24,154.45,17,35.5,76.25
0925,09,25,128.0833333,15.75,34.5,74
0926,09,26,120.3666667,15.5,36.33333333,71.83333333
0927,09,27,125.7166667,15,36.75,75.25
0928,09,28,105.4,15.33333333,37,72.83333333
0929,09,29,104.6333333,17.75,41.5,76.25
0930,09,30,null,null,null,null
0931,09,31,null,null,null,null
0932,09,32,null,null,null,null
1000,10,00,null,null,null,null
1001,10,01,null,null,null,null
1002,10,02,null,null,null,null
1003,10,03,null,null,null,null
1004,10,04,null,null,null,null
1005,10,05,null,null,null,null
1006,10,06,null,null,null,null
1007,10,07,null,null,null,null
1008,10,08,null,null,null,null
1009,10,09,null,null,null,null
1010,10,10,null,null,null,null
1011,10,11,null,null,null,null
1012,10,12,null,null,null,null
1013,10,13,null,null,null,null
1014,10,14,null,null,null,null
1015,10,15,null,null,null,null
1016,10,16,null,null,null,null
1017,10,17,null,null,null,null
1018,10,18,131.75,13.5,30.25,64
1019,10,19,153.4666667,14,36,65
1020,10,20,165.65,15,55,72.33333333
1021,10,21,157.3,21.25,41.25,89.25
1022,10,22,136.7,18.5,43.5,69
1023,10,23,155.8,17.16666667,42.5,73.16666667
1024,10,24,159.2,15.25,37.5,76.5
1025,10,25,140.5,15,38.5,75.5
1026,10,26,111.0833333,16,37.66666667,72.66666667
1027,10,27,112.1,16,38.75,75.25
1028,10,28,null,null,null,null
1029,10,29,null,null,null,null
1030,10,30,null,null,null,null
1031,10,31,null,null,null,null
1032,10,32,null,null,null,null
1100,11,00,null,null,null,null
1101,11,01,null,null,null,null
1102,11,02,null,null,null,null
1103,11,03,null,null,null,null
1104,11,04,null,null,null,null
1105,11,05,null,null,null,null
1106,11,06,null,null,null,null
1107,11,07,null,null,null,null
1108,11,08,null,null,null,null
1109,11,09,null,null,null,null
1110,11,10,null,null,null,null
1111,11,11,null,null,null,null
1112,11,12,null,null,null,null
1113,11,13,null,null,null,null
1114,11,14,null,null,null,null
1115,11,15,null,null,null,null
1116,11,16,null,null,null,null
1117,11,17,108.0355556,14.44444444,26.22222222,56.66666667
1118,11,18,123.02,23.5,34,68.5
1119,11,19,140.9333333,16,36.33333333,67.16666667
1120,11,20,135.7111111,15.88888889,35.66666667,64.22222222
1121,11,21,145.6,15.33333333,38.66666667,69.16666667
1122,11,22,137.45,13.66666667,40.16666667,71
1123,11,23,142.1111111,14.55555556,37,70.66666667
1124,11,24,152.55,14.16666667,37.83333333,76.5
1125,11,25,133.1666667,14.66666667,38.33333333,79
1126,11,26,null,null,null,null
1127,11,27,null,null,null,null
1128,11,28,null,null,null,null
1129,11,29,null,null,null,null
1130,11,30,null,null,null,null
1131,11,31,null,null,null,null
1132,11,32,null,null,null,null
1200,12,00,null,null,null,null
1201,12,01,null,null,null,null
1202,12,02,null,null,null,null
1203,12,03,null,null,null,null
1204,12,04,null,null,null,null
1205,12,05,null,null,null,null
1206,12,06,null,null,null,null
1207,12,07,null,null,null,null
