both,row,col,23nov,30nov,28dec
3218,32,18,null,null,null
3219,32,19,null,null,null
3220,32,20,null,null,null
3221,32,21,null,null,null
3222,32,22,null,null,null
3223,32,23,null,null,null
3224,32,24,null,null,null
3225,32,25,null,null,null
3226,32,26,null,null,null
3227,32,27,null,null,null
3228,32,28,null,null,null
3229,32,29,null,null,null
3230,32,30,null,null,null
3231,32,31,null,null,null
3232,32,32,null,null,null
3300,33,00,null,null,null
3301,33,01,null,null,null
3302,33,02,40,8,63
3303,33,03,96,6,118
3304,33,04,44,7,66
3305,33,05,7,1,8
3306,33,06,31,0,31
3307,33,07,9,0,32
3308,33,08,19,2,30
3309,33,09,6,0,16
3310,33,10,52,9,56
3311,33,11,14,0,13
3312,33,12,8,0,12
3313,33,13,0,0,0
3314,33,14,null,null,null
3315,33,15,null,null,null
3316,33,16,null,null,null
3317,33,17,null,null,null
3318,33,18,null,null,null
3319,33,19,null,null,null
3320,33,20,null,null,null
3321,33,21,null,null,null
3322,33,22,null,null,null
3323,33,23,null,null,null
3324,33,24,null,null,null
3325,33,25,null,null,null
3326,33,26,null,null,null
3327,33,27,null,null,null
3328,33,28,null,null,null
3329,33,29,null,null,null
3330,33,30,null,null,null
3331,33,31,null,null,null
3332,33,32,null,null,null
3400,34,00,null,null,null
3401,34,01,null,null,null
3402,34,02,68,6,182
3403,34,03,109,24,244
3404,34,04,109,13,129
3405,34,05,29,0,14
3406,34,06,7,0,17
3407,34,07,30,0,32
3408,34,08,19,0,4
3409,34,09,31,0,19
3410,34,10,15,0,15
3411,34,11,4,1,6
3412,34,12,0,0,0
3413,34,13,null,null,null
3414,34,14,null,null,null
3415,34,15,null,null,null
3416,34,16,null,null,null
3417,34,17,null,null,null
3418,34,18,null,null,null
3419,34,19,null,null,null
3420,34,20,null,null,null
3421,34,21,null,null,null
3422,34,22,null,null,null
3423,34,23,null,null,null
3424,34,24,null,null,null
3425,34,25,null,null,null
3426,34,26,null,null,null
3427,34,27,null,null,null
3428,34,28,null,null,null
3429,34,29,null,null,null
3430,34,30,null,null,null
3431,34,31,null,null,null
3432,34,32,null,null,null
3500,35,00,null,null,null
3501,35,01,null,null,null
3502,35,02,null,null,null
3503,35,03,100,23,185
3504,35,04,154,9,191
3505,35,05,61,3,63
3506,35,06,4,0,6
3507,35,07,3,10,10
3508,35,08,16,0,14
3509,35,09,0,0,1
3510,35,10,1,0,1
3511,35,11,0,0,0
3512,35,12,null,null,null
3513,35,13,null,null,null
3514,35,14,null,null,null
3515,35,15,null,null,null
3516,35,16,null,null,null
3517,35,17,null,null,null
3518,35,18,null,null,null
3519,35,19,null,null,null
3520,35,20,null,null,null
3521,35,21,null,null,null
3522,35,22,null,null,null
3523,35,23,null,null,null
3524,35,24,null,null,null
3525,35,25,null,null,null
3526,35,26,null,null,null
3527,35,27,null,null,null
3528,35,28,null,null,null
3529,35,29,null,null,null
3530,35,30,null,null,null
3531,35,31,null,null,null
3532,35,32,null,null,null
3600,36,00,null,null,null
3601,36,01,null,null,null
3602,36,02,null,null,null
3603,36,03,41,11,83
3604,36,04,85,5,124
3605,36,05,123,12,185
3606,36,06,30,4,38
3607,36,07,4,1,1
3608,36,08,0,2,1
3609,36,09,0,0,0
3610,36,10,0,0,1
3611,36,11,null,null,null
3612,36,12,null,null,null
3613,36,13,null,null,null
3614,36,14,null,null,null
3615,36,15,null,null,null
3616,36,16,null,null,null
3617,36,17,null,null,null
3618,36,18,null,null,null
3619,36,19,null,null,null
3620,36,20,null,null,null
3621,36,21,null,null,null
3622,36,22,null,null,null
3623,36,23,null,null,null
3624,36,24,null,null,null
3625,36,25,null,null,null
3626,36,26,null,null,null
3627,36,27,null,null,null
3628,36,28,null,null,null
3629,36,29,null,null,null
3630,36,30,null,null,null
3631,36,31,null,null,null
3632,36,32,null,null,null
3700,37,00,null,null,null
3701,37,01,null,null,null
3702,37,02,null,null,null
3703,37,03,16,0,10
3704,37,04,25,3,26
3705,37,05,34,6,40
3706,37,06,40,4,54
3707,37,07,10,0,7
3708,37,08,0,0,1
3709,37,09,0,0,0
3710,37,10,null,null,null
3711,37,11,null,null,null
3712,37,12,null,null,null
3713,37,13,null,null,null
3714,37,14,null,null,null
3715,37,15,null,null,null
3716,37,16,null,null,null
3717,37,17,null,null,null
3718,37,18,null,null,null
3719,37,19,null,null,null
3720,37,20,null,null,null
3721,37,21,null,null,null
3722,37,22,null,null,null
3723,37,23,null,null,null
3724,37,24,null,null,null
3725,37,25,null,null,null
3726,37,26,null,null,null
3727,37,27,null,null,null
3728,37,28,null,null,null
3729,37,29,null,null,null
3730,37,30,null,null,null
3731,37,31,null,null,null
3732,37,32,null,null,null
3800,38,00,null,null,null
3801,38,01,null,null,null
3802,38,02,null,null,null
3803,38,03,null,null,null
3804,38,04,9,0,10
3805,38,05,0,0,2
3806,38,06,3,0,1
3807,38,07,36,19,52
3808,38,08,0,0,0
3809,38,09,null,null,null
3810,38,10,null,null,null
3811,38,11,null,null,null
3812,38,12,null,null,null
3813,38,13,null,null,null
3814,38,14,null,null,null
3815,38,15,null,null,null
3816,38,16,null,null,null
3817,38,17,null,null,null
3818,38,18,null,null,null
3819,38,19,null,null,null
3820,38,20,null,null,null
3821,38,21,null,null,null
3822,38,22,null,null,null
3823,38,23,null,null,null
3824,38,24,null,null,null
3825,38,25,null,null,null
3826,38,26,null,null,null
3827,38,27,null,null,null
3828,38,28,null,null,null
3829,38,29,null,null,null
3830,38,30,null,null,null
3831,38,31,null,null,null
3832,38,32,null,null,null
3900,39,00,null,null,null
3901,39,01,null,null,null
3902,39,02,null,null,null
3903,39,03,null,null,null
3904,39,04,5,0,1
3905,39,05,0,0,0
3906,39,06,0,0,0
3907,39,07,null,null,null
3908,39,08,null,null,null
3909,39,09,null,null,null
3910,39,10,null,null,null
3911,39,11,null,null,null
3912,39,12,null,null,null
3913,39,13,null,null,null
3914,39,14,null,null,null
3915,39,15,null,null,null
3916,39,16,null,null,null
3917,39,17,null,null,null
3918,39,18,null,null,null
3919,39,19,null,null,null
3920,39,20,null,null,null
3921,39,21,null,null,null
3922,39,22,null,null,null
3923,39,23,null,null,null
3924,39,24,null,null,null
3925,39,25,null,null,null
3926,39,26,null,null,null
3927,39,27,null,null,null
3928,39,28,null,null,null
3929,39,29,null,null,null
3930,39,30,null,null,null
3931,39,31,null,null,null
3932,39,32,null,null,null
4000,40,00,null,null,null
4001,40,01,null,null,null
4002,40,02,null,null,null
4003,40,03,null,null,null
4004,40,04,0,0,1
4005,40,05,0,0,0
4006,40,06,null,null,null
4007,40,07,null,null,null
4008,40,08,null,null,null
4009,40,09,null,null,null
4010,40,10,null,null,null
4011,40,11,null,null,null
4012,40,12,null,null,null
4013,40,13,null,null,null
4014,40,14,null,null,null
4015,40,15,null,null,null
4016,40,16,null,null,null
4017,40,17,null,null,null
4018,40,18,null,null,null
4019,40,19,null,null,null
4020,40,20,null,null,null
4021,40,21,null,null,null
4022,40,22,null,null,null
4023,40,23,null,null,null
4024,40,24,null,null,null
4025,40,25,null,null,null
4026,40,26,null,null,null
4027,40,27,null,null,null
4028,40,28,null,null,null
4029,40,29,null,null,null
4030,40,30,null,null,null
4031,40,31,null,null,null
4032,40,32,null,null,null
4100,41,00,null,null,null
4101,41,01,null,null,null
4102,41,02,null,null,null
4103,41,03,null,null,null
4104,41,04,null,null,null
4105,41,05,null,null,null
4106,41,06,null,null,null
4107,41,07,null,null,null
4108,41,08,null,null,null
4109,41,09,null,null,null
4110,41,10,null,null,null
4111,41,11,null,null,null
4112,41,12,null,null,null
4113,41,13,null,null,null
4114,41,14,null,null,null
4115,41,15,null,null,null
4116,41,16,null,null,null
4117,41,17,null,null,null
4118,41,18,null,null,null
4119,41,19,null,null,null
4120,41,20,null,null,null
4121,41,21,null,null,null
4122,41,22,null,null,null
4123,41,23,null,null,null
4124,41,24,null,null,null
4125,41,25,null,null,null
4126,41,26,null,null,null
4127,41,27,null,null,null
4128,41,28,null,null,null
4129,41,29,null,null,null
4130,41,30,null,null,null
4131,41,31,null,null,null
4132,41,32,null,null,null
