row,col,6oct,23nov,30nov,28dec
5,30,11,21.5,46.5,83
5,31,8.555555556,20.66666667,50,90.44444444
5,32,15.33333333,29.5,50,102.1666667
6,0,5,7.5,22.375,43
6,1,5.666666667,8,37.5,41.83333333
6,2,4.25,8,36.5,38
6,3,5.5,7.75,42.5,41.75
6,4,4,8.166666667,51.16666667,45.83333333
6,5,3,9,60,39
6,6,3.833333333,7.833333333,36,39.66666667
6,7,4.25,8,35,40
6,8,3.5,9,38.66666667,44
6,9,3.833333333,9.333333333,31.5,39.83333333
6,10,4,9,21,39.75
6,11,4.75,8.25,18.8,41
6,12,4.333333333,8.666666667,19,43.33333333
6,13,3,9,20,50
6,14,4.5,8.5,15.5,42.5
6,15,4.166666667,8.833333333,17.66666667,42.66666667
6,16,4.5,9,18.25,40.25
6,17,5.333333333,8.833333333,15.83333333,45
6,18,4.5,9,15.25,43.5
6,19,5.25,9,17.16666667,44
6,20,5.166666667,11.33333333,18,50
6,21,8,12,26.33333333,67.5
6,22,45.5,15.75,36.75,81.25
6,23,12.33333333,16,37.5,61.66666667
6,24,9,19.75,39,66.5
6,25,13,85.25,44,66
6,26,49.33333333,29,55.5,69.66666667
6,27,49,23.5,43.33333333,75
6,28,10.16666667,20.16666667,39.75,69.66666667
6,29,9,17.25,39.66666667,76.25
6,30,9,17.5,41.5,75
6,31,9,18.66666667,44.33333333,84
6,32,13,27.25,50.22222222,99.5
7,0,5.75,8.25,26.33333333,37.5
7,1,5,8,44,37.33333333
7,2,4.25,7.75,50.83333333,35
7,3,4,7.75,55.25,39.5
7,4,4,8.166666667,63.33333333,36.83333333
7,5,2,7.75,72,37
7,6,3.666666667,9,48.33333333,40.66666667
7,7,4.5,8.25,44.75,34
7,8,4,8,27,40
7,9,3.833333333,8.333333333,20,43
7,10,3.75,11,18.5,42
7,11,3.5,9,17,45
7,12,4.166666667,8.666666667,19,43
7,13,4.5,9.25,20.33333333,50
7,14,4.5,9,18,40.5
7,15,4.5,9.666666667,16.66666667,41.83333333
7,16,4.5,9.5,19,44.5
7,17,4.333333333,8.833333333,18.66666667,45.83333333
7,18,4.5,9.5,17.5,47
7,19,5.5,10,18.33333333,159
7,20,19.83333333,12.33333333,27.5,73.83333333
7,21,26.5,20,34.5,58
7,22,48,15,40.25,63.25
